Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2006-06-30,4.18,4.23,4.11,4.21
2006-09-30,4.2,4.23,4.17,4.22
2006-12-31,4.22,4.24,4.19,4.2
2007-03-31,4.21,4.24,4.18,4.24
2007-06-30,4.24,4.71,4.24,4.71
2007-09-30,4.74,5.1,4.74,5.1
2007-12-31,5.09,5.73,5.09,5.7
2008-03-31,5.6,6.15,5.6,6.15
2008-06-30,6.18,6.65,6.18,6.65
2008-09-30,6.66,6.67,6.46,6.63
2008-12-31,6.67,6.87,5.86,5.88
2009-03-31,5.84,5.84,4.14,4.17
2009-06-30,4.16,4.65,4.14,4.44
2009-09-30,4.43,4.43,4.15,4.18
2009-12-31,4.18,4.27,4.18,4.27
2010-03-31,4.27,4.27,4.1,4.1
2010-06-30,4.05,4.05,3.84,3.87
2010-09-30,3.87,3.87,3.8,3.84
2010-12-31,3.84,3.95,3.82,3.95
2011-03-31,3.94,4.19,3.94,4.19
2011-06-30,4.2,4.71,4.2,4.69
2011-09-30,4.7,4.76,4.69,4.76
2011-12-31,4.76,4.99,4.75,4.99
2012-03-31,4.99,5,4.94,4.94
2012-06-30,4.94,5.13,4.94,5.13
2012-09-30,5.13,5.14,4.92,4.92
2012-12-31,4.92,4.92,4.11,4.11
2013-03-31,4.1,4.1,3.39,3.39
2013-06-30,3.38,3.38,2.73,2.73
2013-09-30,2.72,2.72,2.67,2.67
2013-12-31,2.67,2.71,2.65,2.71
2014-03-31,2.7,2.71,2.7,2.71
2014-06-30,2.71,2.72,2.68,2.68
2014-09-30,2.68,2.68,2.28,2.28
2014-12-31,2.27,2.27,1.94,2.06
2015-03-31,2.06,2.06,1.65,1.65
2015-06-30,1.65,1.72,1.65,1.72
2015-09-30,1.72,1.73,1.72,1.73
2015-12-31,1.73,1.73,1.72,1.72
2016-03-31,1.72,1.72,1.67,1.67
2016-06-30,1.67,1.71,1.67,1.71
2016-09-30,1.71,1.71,1.71,1.71
2016-12-31,1.71,1.73,1.71,1.73
2017-03-31,1.73,1.73,1.73,1.73
2017-06-30,1.73,1.73,1.73,1.73
2017-09-30,1.73,1.73,1.73,1.73
2017-12-31,1.73,1.73,1.72,1.72
2018-03-31,1.72,1.72,1.7,1.7
2018-06-30,1.7,1.7,1.7,1.7
2018-09-30,1.7,1.72,1.7,1.72
2018-12-31,1.72,1.72,1.72,1.72
2019-03-31,1.72,1.72,1.72,1.72
2019-06-30,1.72,1.72,1.72,1.72
2019-09-30,1.72,1.72,1.72,1.72
2019-12-31,1.72,1.72,1.7,1.71
2020-03-31,1.71,1.71,1.17,1.17
2020-06-30,1.17,1.17,0.26,0.26
2020-09-30,0.26,0.26,0.22,0.22
2020-12-31,0.22,0.22,0.21,0.21
2021-03-31,0.21,0.21,0.21,0.21
2021-06-30,0.21,0.21,0.21,0.21
2021-09-30,0.21,0.24,0.21,0.23
2021-12-31,0.24,2.54,0.24,2.54
2022-03-31,2.56,4.77,2.56,4.77
2022-06-30,4.84,7.05,4.84,7.05
2022-09-30,7.05,7.21,6.99,7.21
2022-12-31,7.28,7.61,7.02,7.02
2023-03-31,7.01,7.01,6.89,6.89
2023-06-30,6.9,6.9,6.89,6.9
2023-09-30,6.9,6.9,5.77,5.77
2023-12-31,5.74,5.88,5.62,5.88
2024-03-31,5.89,5.89,5.85,5.88
2024-06-30,5.86,5.88,5.85,5.85
2024-09-30,5.85,5.87,5.85,5.85
2024-12-31,5.84,5.87,5.82,5.84
2025-03-31,5.82,5.91,5.8,5.84
2025-06-30,5.85,5.85,5.19,5.22
